DATE,APPNAME,API,SUM_COUNT,zsc,Outlier
2023-07-04,App1,API18,8,-0.3160852899133674,0
2023-07-05,App1,API18,9,-0.29661336910013886,0
2023-07-06,App1,API18,5,-0.374501052353053,0
2023-07-07,App1,API18,18,-0.12136608178108199,0
2023-07-08,App1,API18,17,-0.14083800259431054,0
2023-07-09,App1,API18,25,0.014937363911517773,0
2023-07-10,App1,API18,24,-0.004534556901710765,0
2023-07-11,App1,API18,14,-0.19925376503399617,0
2023-07-12,App1,API18,29,0.09282504716443193,0
2023-07-13,App1,API18,6,-0.35502913153982446,0
2023-07-14,App1,API18,23,-0.024006477714939304,0
2023-07-15,App1,API18,15,-0.17978184422076762,0
2023-07-16,App1,API18,22,-0.043478398528167844,0
2023-07-17,App1,API18,15,-0.17978184422076762,0
2023-07-18,App1,API18,17,-0.14083800259431054,0
2023-07-19,App1,API18,7,-0.33555721072659594,0
2023-07-20,App1,API18,8,-0.3160852899133674,0
2023-07-21,App1,API18,14,-0.19925376503399617,0
2023-07-22,App1,API18,5,-0.374501052353053,0
2023-07-23,App1,API18,21,-0.06295031934139639,0
2023-07-24,App1,API18,11,-0.25766952747368177,0
2023-07-25,App1,API18,45,0.40437578017608855,0
2023-07-26,App1,API18,54,0.5796230674951454,0
2023-07-27,App1,API18,221,3.8314338433043114,1
2023-07-28,App1,API18,6,-0.35502913153982446,0
2023-07-29,App1,API18,20,-0.08242224015462492,0
2023-07-30,App1,API18,12,-0.23819760666045323,0
2023-07-31,App1,API18,11,-0.25766952747368177,0
2023-08-01,App1,API18,8,-0.3160852899133674,0
2023-08-02,App1,API18,11,-0.25766952747368177,0
2023-08-03,App1,API18,3,-0.41344489397951006,0
2023-08-04,App1,API18,15,-0.17978184422076762,0
2023-08-05,App1,API18,14,-0.19925376503399617,0
2023-08-06,App1,API18,10,-0.2771414482869103,0
2023-08-07,App1,API18,12,-0.23819760666045323,0
2023-08-08,App1,API18,18,-0.12136608178108199,0
2023-08-09,App1,API18,10,-0.2771414482869103,0
2023-08-10,App1,API18,8,-0.3160852899133674,0
2023-08-11,App1,API18,25,0.014937363911517773,0
2023-08-12,App1,API18,15,-0.17978184422076762,0
2023-08-13,App1,API18,13,-0.21872568584722468,0
2023-08-14,App1,API18,37,0.24860041367026023,0
2023-08-15,App1,API18,17,-0.14083800259431054,0
2023-08-16,App1,API18,393,7.180604223179619,1
2023-08-17,App1,API18,12,-0.23819760666045323,0
2023-08-18,App1,API18,10,-0.2771414482869103,0
2023-08-19,App1,API18,20,-0.08242224015462492,0
2023-08-20,App1,API18,69,0.8717018796935735,0
2023-08-21,App1,API18,31,0.131768888790889,0
2023-08-22,App1,API18,33,0.17071273041734608,0
2023-08-23,App1,API18,11,-0.25766952747368177,0
2023-08-24,App1,API18,32,0.15124080960411754,0
2023-08-25,App1,API18,8,-0.3160852899133674,0
2023-08-26,App1,API18,10,-0.2771414482869103,0
2023-08-27,App1,API18,7,-0.33555721072659594,0
2023-08-28,App1,API18,8,-0.3160852899133674,0
2023-08-29,App1,API18,10,-0.2771414482869103,0
2023-08-30,App1,API18,8,-0.3160852899133674,0
2023-08-31,App1,API18,10,-0.2771414482869103,0
2023-09-01,App1,API18,77,1.0274772461994017,0
2023-09-02,App1,API18,15,-0.17978184422076762,0
2023-09-03,App1,API18,6,-0.35502913153982446,0
2023-09-04,App1,API18,16,-0.16030992340753908,0
2023-09-05,App1,API18,15,-0.17978184422076762,0
2023-09-07,App1,API18,8,-0.3160852899133674,0
2023-09-08,App1,API18,5,-0.374501052353053,0
2023-09-10,App1,API18,1,-0.45238873560596715,0
2023-09-14,App1,API18,1,-0.45238873560596715,0
2023-09-15,App1,API18,19,-0.10189416096785346,0
2023-09-16,App1,API18,5,-0.374501052353053,0
2023-09-17,App1,API18,15,-0.17978184422076762,0
2023-09-18,App1,API18,15,-0.17978184422076762,0
2023-09-19,App1,API18,1,-0.45238873560596715,0
2023-07-04,App1,API19,767,-0.06487290223688483,0
2023-07-05,App1,API19,723,-0.15007910218980816,0
2023-07-06,App1,API19,799,-0.0029047568165769325,0
2023-07-07,App1,API19,799,-0.0029047568165769325,0
2023-07-08,App1,API19,589,-0.40957071113734744,0
2023-07-09,App1,API19,390,-0.7949351154698872,0
2023-07-10,App1,API19,827,0.05131737042619247,0
2023-07-11,App1,API19,728,-0.14039657946788506,0
2023-07-12,App1,API19,3242,4.727975845115053,1
2023-07-13,App1,API19,835,0.06680940678126944,0
2023-07-14,App1,API19,802,0.0029047568165769325,0
2023-07-15,App1,API19,718,-0.1597616249117313,0
2023-07-16,App1,API19,404,-0.7678240518485024,0
2023-07-17,App1,API19,831,0.059063388603730956,0
2023-07-18,App1,API19,802,0.0029047568165769325,0
2023-07-19,App1,API19,786,-0.02807931589357701,0
2023-07-20,App1,API19,780,-0.03969834315988474,0
2023-07-21,App1,API19,726,-0.1442695885566543,0
2023-07-22,App1,API19,713,-0.1694441476336544,0
2023-07-23,App1,API19,3543,5.310863712974824,1
2023-07-24,App1,API19,2879,4.025024695503436,1
2023-07-25,App1,API19,759,-0.0803649385919618,0
2023-07-26,App1,API19,751,-0.09585697494703876,0
